timesteps,walltime,reward_mean,reward_std,episode_count,fps
10000,3.353243350982666,-1.3176963329315186,10.732611656188965,10,2982.1873789951765
20000,8.215429544448853,-0.8841301202774048,8.97217845916748,20,2434.443615125877
30000,13.438074588775635,-0.34161365032196045,7.288012504577637,30,2232.4626792187905
40000,18.475767850875854,-0.21006298065185547,6.6642937660217285,40,2164.997975881353
50000,23.465672969818115,0.055706702172756195,3.893435001373291,50,2130.772045801146
60000,28.267465829849243,0.06270398199558258,4.760466575622559,60,2122.581499210394
70000,32.93849325180054,-0.007368338294327259,2.3464322090148926,70,2125.1731056694143
80000,37.30075263977051,-0.042066723108291626,2.078667402267456,80,2144.7288416025967
90000,41.89462685585022,0.04311303049325943,5.527812957763672,90,2148.2468458227186
100000,46.74548149108887,0.019023824483156204,2.6690151691436768,100,2139.2441966623683
110000,50.96136212348938,0.13902238011360168,3.5163958072662354,110,2158.4980349121834
120000,55.462641954422,0.14500048756599426,3.0231564044952393,120,2163.618532608191
130000,59.81701064109802,0.05457936227321625,1.0442852973937988,130,2173.2948304621877
140000,63.95747494697571,0.35109981894493103,4.062543869018555,140,2188.9544594446193
150000,68.22808122634888,0.10580320656299591,2.4078855514526367,150,2198.508257946902
160000,72.29365968704224,0.09370065480470657,1.9844826459884644,160,2213.195468214456
170000,76.31614828109741,-9.082361066248268e-05,0.034728847444057465,170,2227.57573369445
180000,80.00437641143799,0.22697940468788147,3.139596700668335,180,2249.876920161407
190000,83.9331374168396,0.2845568060874939,3.8736767768859863,190,2263.7066342033354
200000,87.96195387840271,0.44616571068763733,4.764242649078369,200,2273.710293844507
210000,91.81022095680237,0.5167611837387085,4.754297256469727,210,2287.3270297302424
220000,95.75090622901917,0.12310526520013809,2.2916276454925537,220,2297.6283845690095
230000,99.74752569198608,0.1134406179189682,2.0471718311309814,230,2305.821607146679
240000,103.79742670059204,0.0035452733281999826,0.4228808879852295,240,2312.1960498335848
250000,107.72260999679565,0.000677631760481745,0.09878048300743103,250,2320.7755549873564
260000,111.3990581035614,0.1871410310268402,1.923855185508728,260,2333.951511136591
270000,114.98414421081543,0.14345267415046692,1.5957645177841187,270,2348.1498414683488
280000,119.02369427680969,0.10585489869117737,3.5986509323120117,280,2352.4727719239895
290000,123.04952788352966,0.056743551045656204,1.0992478132247925,290,2356.7745849012467
300000,127.54831194877625,0.07114682346582413,1.5189902782440186,300,2352.0499441849206
310000,133.11950492858887,0.04673978313803673,0.9875718355178833,310,2328.7346220698278
320000,137.7860815525055,0.0690828189253807,0.9356712102890015,320,2322.4406732116777
330000,141.9168758392334,-0.003101769369095564,0.8779745697975159,330,2325.3048522138506
340000,145.89890837669373,-0.0005118003464303911,0.045944467186927795,340,2330.380698409067
350000,149.47806215286255,0.16369664669036865,1.2721853256225586,350,2341.480716026913
360000,153.46752643585205,0.0698506087064743,0.9057865738868713,360,2345.7731310374415
370000,157.26121878623962,0.06880559027194977,0.9321545958518982,370,2352.77332107498
380000,161.24566197395325,0.09495559334754944,0.9707885980606079,380,2356.6525471015966
390000,164.97168278694153,0.09058162569999695,0.9183382391929626,390,2364.0420792923546
400000,168.73792457580566,0.05795768275856972,0.7263041734695435,400,2370.5400016360854
410000,172.69987654685974,-0.002322982531040907,0.15911123156547546,410,2374.0607590344866
420000,176.68679928779602,-0.00047130786697380245,0.07788971066474915,420,2377.0876018637005
430000,180.29921507835388,0.21818095445632935,3.584651470184326,430,2384.9244147465197
440000,184.02362823486328,0.7601428031921387,5.707653999328613,440,2390.9973095326786
450000,187.74813222885132,0.38028520345687866,4.100081920623779,450,2396.8281050672863
460000,191.46272492408752,0.43360811471939087,4.222598075866699,460,2402.5564254472197
470000,195.23875212669373,0.45609843730926514,4.69140625,470,2407.308973656055
480000,199.03900003433228,0.22480438649654388,3.290318727493286,480,2411.5876783806425
490000,202.7891252040863,0.23865504562854767,3.3369550704956055,490,2416.303140056774
500000,206.40711164474487,0.12557080388069153,2.327514886856079,500,2422.397154903117
