timesteps,walltime,reward_mean,reward_std,episode_count,fps
10000,3.3941593170166016,-1.3079264163970947,10.18709659576416,10,2946.2376588703564
20000,6.2411110401153564,-0.4860156178474426,7.5104756355285645,20,3204.5576294746284
30000,9.069527387619019,-0.23576757311820984,5.621992588043213,30,3307.7798564182694
40000,12.074029922485352,0.037708282470703125,0.504176914691925,40,3312.8955499363456
50000,15.163983345031738,0.03707540035247803,4.832334518432617,50,3297.286660261453
60000,18.175734758377075,-0.001156546175479889,5.252469062805176,60,3301.104510910977
70000,22.14044976234436,0.048038579523563385,2.6084094047546387,70,3161.634056732368
80000,25.485344171524048,-0.004716221243143082,3.29396915435791,80,3139.059039641603
90000,29.68821930885315,0.09658698737621307,5.229700565338135,90,3031.505495958177
100000,34.250300884246826,-0.031390413641929626,4.240782737731934,100,2919.6823799581352
110000,37.80147695541382,-0.2109401971101761,4.645885944366455,110,2909.9392103050122
120000,42.239877223968506,0.053629301488399506,0.8739455342292786,120,2840.917348403358
130000,46.61106634140015,-0.08045092970132828,4.028358459472656,130,2789.037243812924
140000,51.1533567905426,0.058842673897743225,1.8384990692138672,140,2736.868287515467
150000,55.7146897315979,-0.014084044843912125,1.820320963859558,150,2692.288168930237
160000,60.2219934463501,0.011272143572568893,1.5890417098999023,160,2656.8366612197756
170000,64.72265458106995,0.0002573335950728506,0.05481704697012901,170,2626.5918958417
180000,69.17193484306335,0.0635574460029602,1.7832063436508179,180,2602.2114374620623
190000,73.80735778808594,0.09092551469802856,1.889382004737854,190,2574.2690931373513
200000,78.34656310081482,-0.0024633437860757113,0.1312492936849594,200,2552.760352009876
210000,82.64298152923584,0.009693574160337448,0.09986517578363419,210,2541.0506266126213
220000,87.00459408760071,0.3375290036201477,3.791698694229126,220,2528.602107820797
230000,91.60846471786499,0.029347606003284454,4.865570545196533,230,2510.6850192103116
240000,96.0781557559967,0.022924691438674927,4.608402252197266,240,2497.9663494948013
250000,100.4712450504303,0.10805418342351913,0.9541760087013245,250,2488.2741313150404
260000,104.6318747997284,0.022881127893924713,5.905290126800537,260,2484.902430522777
270000,109.14316248893738,0.20389702916145325,4.709911823272705,270,2473.81506860191
280000,113.68290901184082,0.2282639741897583,3.385545492172241,280,2462.9911605343964
290000,118.24991464614868,0.029279597103595734,1.1795846223831177,290,2452.4330598275415
300000,122.65107917785645,0.37975263595581055,5.752028942108154,300,2445.962987125207
310000,126.8331401348114,0.1860065907239914,4.873172283172607,310,2444.1561540658845
320000,130.9989767074585,-0.136707603931427,4.74428129196167,320,2442.7671730185402
330000,135.35210609436035,0.15327370166778564,3.494041919708252,330,2438.0854463390574
340000,139.32117891311646,-0.0015523997135460377,0.3362237513065338,340,2440.404270567011
350000,143.06589770317078,0.39991503953933716,4.774077415466309,350,2446.4250783661278
360000,146.74305725097656,0.267284095287323,3.4419095516204834,360,2453.2676826017555
370000,150.20453715324402,0.22493234276771545,3.278596878051758,370,2463.307746972469
380000,153.61437010765076,-0.000841352273710072,0.026352794840931892,380,2473.726902852262
390000,156.98301243782043,0.35666149854660034,5.7539448738098145,390,2484.345241842492
400000,160.18106126785278,0.4795083701610565,4.803125381469727,400,2497.1741155536793
410000,163.30761814117432,0.2805514931678772,3.371551990509033,410,2510.599350273836
420000,166.56855034828186,0.07938069850206375,0.8646175265312195,420,2521.4843925927958
430000,169.97826504707336,0.47368401288986206,5.792513847351074,430,2529.735198090867
440000,173.2227087020874,0.5123720765113831,4.733656406402588,440,2540.0826675486446
450000,176.42025637626648,0.2374861240386963,3.4759063720703125,450,2550.727502856853
460000,179.86786770820618,-0.006689846515655518,3.306950807571411,460,2557.4328859351526
470000,183.07717514038086,0.6866506338119507,4.9229512214660645,470,2567.2233561590133
480000,186.46847891807556,0.4886783957481384,4.849749565124512,480,2574.161610504083
490000,189.8652765750885,0.03053171932697296,3.538945198059082,490,2580.7773218933653
500000,193.24398279190063,-0.00777992932125926,0.19277149438858032,500,2587.402685331925
510000,196.67113971710205,0.0352509468793869,0.7731180191040039,510,2593.1613592802687
520000,199.8910014629364,0.5984027981758118,4.847543239593506,520,2601.417753647194
530000,203.18475151062012,0.4805658757686615,4.699329853057861,530,2608.463460272499
