timesteps,walltime,reward_mean,reward_std,episode_count,fps
10000,8.847872734069824,-1.045229196548462,9.348026275634766,10,1130.21517155121
20000,20.580415725708008,-0.15307554602622986,6.272125720977783,20,971.7976675766087
10000,3.121166229248047,-1.3079264163970947,10.18709659576416,10,3203.9306033402795
20000,5.806673288345337,-0.4860156178474426,7.5104756355285645,20,3444.312949402941
30000,8.613077402114868,-0.23576757311820984,5.621992588043213,30,3483.0756301613815
40000,11.512071371078491,0.037708282470703125,0.504176914691925,40,3474.613621705914
50000,14.415589809417725,0.03707540035247803,4.832334518432617,50,3468.4671706831537
60000,17.49377989768982,-0.001156546175479889,5.252469062805176,60,3429.790494158637
70000,21.39924168586731,0.048038579523563385,2.6084094047546387,70,3271.1439511536555
80000,24.65830969810486,-0.004716221243143082,3.29396915435791,80,3244.3424135494774
90000,28.911212682724,0.09658698737621307,5.229700565338135,90,3112.9790710501684
100000,33.30251622200012,-0.031390413641929626,4.240782737731934,100,3002.776106567544
110000,36.997002363204956,-0.2109401971101761,4.645885944366455,110,2973.2138544662075
120000,41.39976215362549,0.053629301488399506,0.8739455342292786,120,2898.567377143525
130000,45.6484739780426,-0.08045092970132828,4.028358459472656,130,2847.8498550144604
140000,50.0226526260376,0.058842673897743225,1.8384990692138672,140,2798.732027400077
150000,54.43305802345276,-0.014084044843912125,1.820320963859558,150,2755.678358826942
160000,58.887239933013916,0.011272143572568893,1.5890417098999023,160,2717.0572127680807
170000,63.42217302322388,0.0002573335950728506,0.05481704697012901,170,2680.4505726687976
180000,67.78930902481079,0.0635574460029602,1.7832063436508179,180,2655.2859527469186
190000,72.19617915153503,0.09092551469802856,1.889382004737854,190,2631.718218788317
200000,76.60968732833862,-0.0024633437860757113,0.1312492936849594,200,2610.6358996457902
210000,80.74811625480652,0.009693574160337448,0.09986517578363419,210,2600.6798640023976
220000,84.893057346344,0.3375290036201477,3.791698694229126,220,2591.495781597911
230000,89.27196979522705,0.029347606003284454,4.865570545196533,230,2576.396606096811
240000,93.58922410011292,0.022924691438674927,4.608402252197266,240,2564.397795875203
250000,97.93079280853271,0.10805418342351913,0.9541760087013245,250,2552.8232012660424
260000,102.00823664665222,0.022881127893924713,5.905290126800537,260,2548.8137874651993
270000,106.3761613368988,0.20389702916145325,4.709911823272705,270,2538.162654176776
280000,110.81219935417175,0.2282639741897583,3.385545492172241,280,2526.7976056054954
290000,115.3316810131073,0.029279597103595734,1.1795846223831177,290,2514.4868907879863
300000,119.88883328437805,0.37975263595581055,5.752028942108154,300,2502.318120724352
310000,124.06124305725098,0.1860065907239914,4.873172283172607,310,2498.765870473692
320000,128.23244261741638,-0.136707603931427,4.74428129196167,320,2495.4683344426753
330000,132.62919211387634,0.15327370166778564,3.494041919708252,330,2488.1400145803477
340000,136.66052722930908,-0.0015523997135460377,0.3362237513065338,340,2487.9166420124966
350000,140.3957018852234,0.39991503953933716,4.774077415466309,350,2492.9538105527818
360000,143.99878859519958,0.267284095287323,3.4419095516204834,360,2500.021031510269
370000,147.29957699775696,0.22493234276771545,3.278596878051758,370,2511.887729356034
380000,150.56346106529236,-0.000841352273710072,0.026352794840931892,380,2523.8527150701702
390000,153.75932478904724,0.35666149854660034,5.7539448738098145,390,2536.43153373018
400000,156.96353125572205,0.4795083701610565,4.803125381469727,400,2548.362647042691
410000,160.0407645702362,0.2805514931678772,3.371551990509033,410,2561.8472962247415
420000,163.22170400619507,0.07938069850206375,0.8646175265312195,420,2573.1872029963547
430000,166.48421788215637,0.47368401288986206,5.792513847351074,430,2582.82740232092
440000,169.70448422431946,0.5123720765113831,4.733656406402588,440,2592.742330947469
450000,172.82466888427734,0.2374861240386963,3.4759063720703125,450,2603.794949558492
460000,176.00433802604675,-0.006689846515655518,3.306950807571411,460,2613.5719446410744
470000,179.1325764656067,0.6866506338119507,4.9229512214660645,470,2623.7550381587885
480000,182.82756066322327,0.4886783957481384,4.849749565124512,480,2625.4247349729835
490000,186.30359292030334,0.03053171932697296,3.538945198059082,490,2630.115674739625
500000,189.83887314796448,-0.00777992932125926,0.19277149438858032,500,2633.81251536554
