timesteps,walltime,reward_mean,reward_std,episode_count,fps
10000,4.7862982749938965,-1.2902933359146118,9.977834701538086,10,2089.297286850087
20000,8.83388876914978,-0.4708274006843567,8.278999328613281,20,2264.0085836087455
30000,13.081212520599365,-0.011326724663376808,5.129299640655518,30,2293.3653858736816
40000,18.5198872089386,0.013251964002847672,3.80605149269104,40,2159.840367747707
50000,23.109900951385498,0.0015545813366770744,2.6452138423919678,50,2163.5748290389092
60000,27.910473823547363,-0.06537000089883804,2.563443183898926,60,2149.730612934973
70000,32.8256139755249,0.0076703461818397045,0.8135740160942078,70,2132.4810573898994
80000,37.966023683547974,0.010285826399922371,0.724638819694519,80,2107.1471868323897
90000,42.33337330818176,0.3806859254837036,5.420548439025879,90,2125.9822444294964
100000,47.30954718589783,0.4416642487049103,4.84749698638916,100,2113.7382610545956
110000,52.06132650375366,0.29978761076927185,4.379579544067383,110,2112.892762962329
120000,56.5940146446228,0.27834612131118774,4.199970245361328,120,2120.3655678701994
130000,61.43918037414551,0.023953743278980255,2.5012807846069336,130,2115.9136435144546
140000,66.04121398925781,0.19416935741901398,3.3181493282318115,140,2119.8883476426136
150000,70.54281306266785,0.07719749212265015,2.6010994911193848,150,2126.3682788882415
160000,74.74704456329346,0.10842758417129517,2.3574585914611816,160,2140.552859779185
170000,79.11165952682495,-0.004041924607008696,0.2159803956747055,170,2148.8615081112903
180000,83.11485457420349,0.11635972559452057,5.573336601257324,180,2165.677855326079
190000,87.22066473960876,0.3468770980834961,4.87476110458374,190,2178.3828473129824
200000,91.13687467575073,0.27981990575790405,4.953838348388672,200,2194.50141023121
210000,95.05422639846802,0.2817542254924774,4.736753940582275,210,2209.265257913714
220000,99.04301881790161,0.17756453156471252,3.381463050842285,220,2221.257011607121
230000,103.0732069015503,0.09355909377336502,3.378678798675537,230,2231.42373186936
240000,107.1181104183197,0.10086395591497421,2.3351759910583496,240,2240.5174910456076
250000,111.06908965110779,0.09318093210458755,2.3114449977874756,250,2250.8512565044375
260000,114.4739019870758,0.27759212255477905,4.859272003173828,260,2271.260046935014
270000,118.25217890739441,0.18541783094406128,5.827536582946777,270,2283.2560253409138
280000,122.45791912078857,0.08696909248828888,5.381939888000488,280,2286.4997381167072
290000,126.79426074028015,0.10860516875982285,2.673732042312622,290,2287.169768622441
300000,130.99318766593933,0.19773449003696442,3.4800212383270264,300,2290.195431880505
310000,134.88587379455566,0.2588317394256592,3.377439498901367,310,2298.239180124675
320000,138.74448466300964,0.16172601282596588,2.44197940826416,320,2306.3979860333466
330000,142.43735146522522,0.10080406069755554,2.3215606212615967,330,2316.808032481329
340000,146.56030297279358,-0.0008290298283100128,0.25161969661712646,340,2319.8641999472065
350000,150.27935004234314,0.5408316254615784,5.419910430908203,350,2328.9959658554753
360000,154.24724745750427,0.4250948429107666,4.867133617401123,360,2333.9152298272384
370000,158.17199611663818,0.2493353933095932,3.5265960693359375,370,2339.2257105180424
380000,162.13737225532532,0.3152967393398285,4.305792808532715,380,2343.6916160303635
390000,165.95497584342957,0.15640927851200104,4.150573253631592,390,2350.0349900201004
400000,169.69161200523376,0.06316449493169785,3.511559247970581,400,2357.217279470849
410000,173.5639340877533,0.043502580374479294,2.4360997676849365,410,2362.2419148018707
420000,177.56636476516724,-0.03496057540178299,2.4118247032165527,420,2365.3128257451963
430000,181.2405059337616,0.45515984296798706,6.098554611206055,430,2372.5380691507953
440000,185.1989300251007,0.28699803352355957,5.134987831115723,440,2375.8236612941832
450000,188.96574807167053,0.47237110137939453,5.375388145446777,450,2381.383952341061
460000,192.8537130355835,0.23478783667087555,4.55982780456543,460,2385.227604692917
470000,196.94184565544128,0.17242270708084106,4.31005334854126,470,2386.491293588699
480000,200.8024501800537,0.12741521000862122,3.4118499755859375,480,2390.409079020689
490000,204.79804396629333,0.08261877298355103,2.654003381729126,490,2392.6009766023285
500000,209.023743391037,0.07232177257537842,2.6213555335998535,500,2392.0727468008795
